Instrument,MinTradedQty,MarginRetail,MarginProfessional,LongPosSwap,ShortPosSwap,MarketH
Gasoline-31Dec20,0.1,10%,1%,-0.000054,-0.000011,10:00 pm to 9:00 pm
Gold,0.1,5%,0.33%,-0.204261,-0.091529,10:00 pm to 9:00 pm
Gold-24Feb21,0.01,5%,0.2%,-0.090966,-0.018193,10:00 pm to 9:00 pm
Gold-27Aug21,0.01,5%,0.2%,-0.091515,-0.018303,10:00 pm to 9:00 pm
Gold-27Oct21,0.01,5%,0.2%,-0.091637,-0.018327,10:00 pm to 9:00 pm
Gold-28Apr21,0.01,5%,0.2%,-0.091209,-0.018242,10:00 pm to 9:00 pm
Gold-28Jun21,0.01,5%,0.2%,-0.091396,-0.018279,10:00 pm to 9:00 pm
Gold-28Oct20,0.01,5%,0.2%,-0.090200,-0.018040,10:00 pm to 9:00 pm
Gold-28Sep20,0.01,5%,0.2%,-0.090198,-0.018040,10:00 pm to 9:00 pm
Gold-29Dec20,0.01,5%,0.2%,-0.090618,-0.018124,10:00 pm to 9:00 pm
Gold-29Dec21,0.01,5%,0.2%,-0.091766,-0.018353,10:00 pm to 9:00 pm
Gold/AUD,1,5%,1%,-0.327138,-0.124239,10:00 pm to 9:00 pm
Gold/BGN,1,5%,1%,-0.291713,-0.236854,10:00 pm to 9:00 pm
Gold/EUR,1,5%,1%,-0.126710,-0.239637,10:00 pm to 9:00 pm
Gold/GBP,1,5%,1%,-0.147670,-0.122518,10:00 pm to 9:00 pm
Gold/JPY,1,5%,1%,-19.545398,-12.393311,10:00 pm to 9:00 pm
Gold/TRY,1,5%,5%,-7.210848,0.130746,10:00 pm to 9:00 pm
Heating Oil-26Feb21,0.1,10%,0.5%,-0.000055,-0.000012,10:00 pm to 9:00 pm
Heating Oil-28May21,0.1,10%,0.5%,-0.000056,-0.000012,10:00 pm to 9:00 pm
Heating Oil-29Jan21,0.1,10%,0.5%,-0.000054,-0.000011,10:00 pm to 9:00 pm
Heating Oil-30Apr21,0.1,10%,0.5%,-0.000055,-0.000012,10:00 pm to 9:00 pm
Heating Oil-30Nov20,0.1,10%,0.5%,-0.000053,-0.000011,10:00 pm to 9:00 pm
Heating Oil-30Oct20,0.1,10%,0.5%,-0.000052,-0.000011,10:00 pm to 9:00 pm
Heating Oil-30Sep20,0.1,10%,0.5%,-0.000052,-0.000011,10:00 pm to 9:00 pm
Heating Oil-31Dec20,0.1,10%,0.5%,-0.000053,-0.000011,10:00 pm to 9:00 pm
Heating Oil-31Mar21,0.1,10%,0.5%,-0.000055,-0.000012,10:00 pm to 9:00 pm
Hong Kong 50,0.001,10%,0.2%,-2.733635,0.804010,1:16 am to 7:00 pm
