Instrument,Company,MinTradedQty,MarginRetail,MarginProfessional,LongPosSwap,ShortPosSwap,MarketH
BB,Bic,10,20%,10%,-0.011771,-0.009012,7:00 am to 3:30 pm
BBBY,Bed Bath & Beyond Inc.,10,20%,10%,-0.003638,-0.003113,1:30 pm to 8:00 pm
BBOX,Tritax Big Box REIT plc,1,20%,5%,-0.000391,-0.000328,7:01 am to 3:30 pm
BBVA,Banco Bilbao Vizcaya Argentaria SA,25,20%,10%,-0.000621,-0.000475,7:00 am to 3:30 pm
BBY,"Best Buy Co., Inc.",10,20%,10%,-0.026523,-0.022696,1:30 pm to 8:00 pm
BBY,Balfour Beatty PLC,1,20%,5%,-0.000572,-0.000480,7:01 am to 3:30 pm
BC,Brunswick Corporation,10,20%,20%,-0.014720,-0.012596,1:30 pm to 8:00 pm
BCE,BCE INC,5,20%,10%,-0.014253,-0.013482,1:30 pm to 8:00 pm
BCRX,"BioCryst Pharmaceuticals, Inc.",1,20%,5%,-0.000925,-0.000794,8:00 am to 12:00 am
BDEV,Barratt Developments PLC,1,20%,5%,-0.001169,-0.000979,7:01 am to 3:30 pm
BDX,"Becton, Dickinson and Co",3,20%,10%,-0.056124,-0.048026,1:30 pm to 8:00 pm
BE,Bloom Energy Corporation,1,20%,5%,-0.003795,-0.003248,1:30 pm to 8:00 pm
BECN,Beacon Roofing Supply Inc.,10,20%,10%,-0.007361,-0.006299,1:30 pm to 8:00 pm
BEFB,Befimmo-Sicafi,1,20%,20%,-0.009772,-0.007482,7:00 am to 3:30 pm
BEI,Beiersdorf Aktiengesellschaft,5,20%,10%,-0.024936,-0.019093,7:00 am to 3:30 pm
